,,Verein,SP,S,N,OTW,OTL,T+,T-,TD,P
1,"<a href=""https://www.die-luchse.de/wp-content/uploads/2025/08/LOGO-EV-Dingolfing-Isarrats-scaled.png""><img src=""https://www.die-luchse.de/wp-content/uploads/2025/08/LOGO-EV-Dingolfing-Isarrats-scaled.png"" alt="""" width=""25"" class=""alignnone size-full wp-image-10764"" /></a>",EV Dingolfing Isarrats,8,8,0,0,0,69,18,51,24
2,"<a href=""https://www.die-luchse.de/wp-content/uploads/2024/08/Logo-EHC-Waldkraiburg.png""><img src=""https://www.die-luchse.de/wp-content/uploads/2024/08/Logo-EHC-Waldkraiburg.png"" alt="""" width=""25"" class=""alignnone size-full wp-image-10764"" /></a>","EHC Waldkraiburg ""Die Löwen""",10,7,2,1,0,56,38,18,23
3,"<a href=""https://www.die-luchse.de/wp-content/uploads/2024/08/Logo-ESC-Holzkirchen.png""><img src=""https://www.die-luchse.de/wp-content/uploads/2024/08/Logo-ESC-Holzkirchen.png"" alt="""" width=""25"" class=""alignnone size-full wp-image-10764"" /></a>",SG ESC Holzkirchen / TEV Miesbach II,10,5,4,1,0,35,35,0,17
4,"<a href=""https://www.die-luchse.de/wp-content/uploads/2024/08/Logo-DEC-Inzell.png""><img src=""https://www.die-luchse.de/wp-content/uploads/2024/08/Logo-DEC-Inzell.png"" alt="""" width=""25"" class=""alignnone size-full wp-image-10759"" /></a>",DEC Inzell Frillensee,7,4,3,0,0,42,27,15,12
5,"<a href=""https://www.die-luchse.de/wp-content/uploads/2024/08/Logo-EV-Fuerstenfeldbruck.png""><img src=""https://www.die-luchse.de/wp-content/uploads/2024/08/Logo-EV-Fuerstenfeldbruck.png"" alt="""" width=""25"" class=""alignnone size-full wp-image-10764"" /></a>",EV Fürstenfeldbruck,7,3,3,0,1,39,40,-1,10
6,"<a href=""https://www.die-luchse.de/wp-content/uploads/2025/08/LOGO-TSV-Trostberg.png""><img src=""https://www.die-luchse.de/wp-content/uploads/2025/08/LOGO-TSV-Trostberg.png"" alt="""" width=""25"" class=""alignnone size-full wp-image-10764"" /></a>",SG TSV 1863 Trostberg / EHC Klostersee II,8,1,6,0,1,18,50,-32,4
7,"<a href=""https://www.die-luchse.de/wp-content/uploads/2022/10/Muenchner-EK-Muenchner-Luchse-Logo.png""><img src=""https://www.die-luchse.de/wp-content/uploads/2022/10/Muenchner-EK-Muenchner-Luchse-Logo.png"" alt="""" width=""25"" class=""alignnone size-full wp-image-7273"" /></a>",Münchner Eishockey Klub,10,0,10,0,0,30,81,-51,0
