Datum,Beginn,Heim,,Ergebnis,,Gast,Links
08.11.24,19:45,EV Fürstenfeldbruck 1b,"<a href=""https://www.die-luchse.de/wp-content/uploads/2024/08/Logo-EV-Fuerstenfeldbruck.png""><img src=""https://www.die-luchse.de/wp-content/uploads/2024/08/Logo-EV-Fuerstenfeldbruck.png"" alt="""" width=""25"" class=""alignnone size-full wp-image-10722"" /></a>",0 : 4,"<a href=""https://www.die-luchse.de/wp-content/uploads/2022/10/Muenchner-EK-Muenchner-Luchse-Logo.png""><img src=""https://www.die-luchse.de/wp-content/uploads/2022/10/Muenchner-EK-Muenchner-Luchse-Logo.png"" alt="""" width=""25"" class=""alignnone size-full wp-image-7273"" /></a>",Münchner Eishockey Klub,Kalenderimport
10.11.24,18:45,EHC Bad Aibling 1b,"<a href=""https://www.die-luchse.de/wp-content/uploads/2024/02/Logo-EHC-Bad-Aibling.png""><img src=""https://www.die-luchse.de/wp-content/uploads/2024/02/Logo-EHC-Bad-Aibling.png"" alt="""" width=""25"" class=""alignnone size-full wp-image-9804"" /></a>",1 : 6,"<a href=""https://www.die-luchse.de/wp-content/uploads/2022/10/Muenchner-EK-Muenchner-Luchse-Logo.png""><img src=""https://www.die-luchse.de/wp-content/uploads/2022/10/Muenchner-EK-Muenchner-Luchse-Logo.png"" alt="""" width=""25"" class=""alignnone size-full wp-image-7273"" /></a>",Münchner Eishockey Klub,Kalenderimport
16.11.24,19:30,Münchner Eishockey Klub,"<a href=""https://www.die-luchse.de/wp-content/uploads/2022/10/Muenchner-EK-Muenchner-Luchse-Logo.png""><img src=""https://www.die-luchse.de/wp-content/uploads/2022/10/Muenchner-EK-Muenchner-Luchse-Logo.png"" alt="""" width=""25"" class=""alignnone size-full wp-image-7273"" /></a>",1 : 0,"<a href=""https://www.die-luchse.de/wp-content/uploads/2024/08/Logo-ERSC-Ottobrunn.png""><img src=""https://www.die-luchse.de/wp-content/uploads/2024/08/Logo-ERSC-Ottobrunn.png"" alt="""" width=""25"" class=""alignnone size-full wp-image-10761"" /></a>",SG ERSC Ottobrunn 1b / TEV Miesbach 1b,Kalenderimport
23.11.24,19:30,Münchner Eishockey Klub,"<a href=""https://www.die-luchse.de/wp-content/uploads/2022/10/Muenchner-EK-Muenchner-Luchse-Logo.png""><img src=""https://www.die-luchse.de/wp-content/uploads/2022/10/Muenchner-EK-Muenchner-Luchse-Logo.png"" alt="""" width=""25"" class=""alignnone size-full wp-image-7273"" /></a>",3 : 2,"<a href=""https://www.die-luchse.de/wp-content/uploads/2024/08/Logo-TSV-Farchant.png""><img src=""https://www.die-luchse.de/wp-content/uploads/2024/08/Logo-TSV-Farchant.png"" alt="""" width=""25"" class=""alignnone size-full wp-image-10765"" /></a>",TSV Farchant,Kalenderimport
29.11.24,19:30,Münchner Eishockey Klub,"<a href=""https://www.die-luchse.de/wp-content/uploads/2022/10/Muenchner-EK-Muenchner-Luchse-Logo.png""><img src=""https://www.die-luchse.de/wp-content/uploads/2022/10/Muenchner-EK-Muenchner-Luchse-Logo.png"" alt="""" width=""25"" class=""alignnone size-full wp-image-7273"" /></a>",4 : 3,"<a href=""https://www.die-luchse.de/wp-content/uploads/2024/08/Logo-DEC-Inzell.png""><img src=""https://www.die-luchse.de/wp-content/uploads/2024/08/Logo-DEC-Inzell.png"" alt="""" width=""25"" class=""alignnone size-full wp-image-10759"" /></a>",DEC Inzell Frillensee,Kalenderimport
06.12.24,19:30,Münchner Eishockey Klub,"<a href=""https://www.die-luchse.de/wp-content/uploads/2022/10/Muenchner-EK-Muenchner-Luchse-Logo.png""><img src=""https://www.die-luchse.de/wp-content/uploads/2022/10/Muenchner-EK-Muenchner-Luchse-Logo.png"" alt="""" width=""25"" class=""alignnone size-full wp-image-7273"" /></a>",4 : 1,"<a href=""https://www.die-luchse.de/wp-content/uploads/2024/02/Logo-EHC-Bad-Aibling.png""><img src=""https://www.die-luchse.de/wp-content/uploads/2024/02/Logo-EHC-Bad-Aibling.png"" alt="""" width=""25"" class=""alignnone size-full wp-image-9804"" /></a>",EHC Bad Aibling 1b,Kalenderimport
08.12.24,19:00,ESC Holzkirchen,"<a href=""https://www.die-luchse.de/wp-content/uploads/2024/08/Logo-ESC-Holzkirchen.png""><img src=""https://www.die-luchse.de/wp-content/uploads/2024/08/Logo-ESC-Holzkirchen.png"" alt="""" width=""25"" class=""alignnone size-full wp-image-10762"" /></a>",0 : 1,"<a href=""https://www.die-luchse.de/wp-content/uploads/2022/10/Muenchner-EK-Muenchner-Luchse-Logo.png""><img src=""https://www.die-luchse.de/wp-content/uploads/2022/10/Muenchner-EK-Muenchner-Luchse-Logo.png"" alt="""" width=""25"" class=""alignnone size-full wp-image-7273"" /></a>",Münchner Eishockey Klub,Kalenderimport
14.12.24,19:30,Münchner Eishockey Klub,"<a href=""https://www.die-luchse.de/wp-content/uploads/2022/10/Muenchner-EK-Muenchner-Luchse-Logo.png""><img src=""https://www.die-luchse.de/wp-content/uploads/2022/10/Muenchner-EK-Muenchner-Luchse-Logo.png"" alt="""" width=""25"" class=""alignnone size-full wp-image-7273"" /></a>",4 : 1,"<a href=""https://www.die-luchse.de/wp-content/uploads/2024/08/Logo-EV-Fuerstenfeldbruck.png""><img src=""https://www.die-luchse.de/wp-content/uploads/2024/08/Logo-EV-Fuerstenfeldbruck.png"" alt="""" width=""25"" class=""alignnone size-full wp-image-10722"" /></a>",EV Fürstenfeldbruck 1b,Kalenderimport
20.12.24,20:00,TSV Schliersee,"<a href=""https://www.die-luchse.de/wp-content/uploads/2024/08/Logo-TSV-Schliersee.png""><img src=""https://www.die-luchse.de/wp-content/uploads/2024/08/Logo-TSV-Schliersee.png"" alt="""" width=""25"" class=""alignnone size-full wp-image-10723"" /></a>",4 : 1,"<a href=""https://www.die-luchse.de/wp-content/uploads/2022/10/Muenchner-EK-Muenchner-Luchse-Logo.png""><img src=""https://www.die-luchse.de/wp-content/uploads/2022/10/Muenchner-EK-Muenchner-Luchse-Logo.png"" alt="""" width=""25"" class=""alignnone size-full wp-image-7273"" /></a>",Münchner Eishockey Klub,Kalenderimport
27.12.24,20:00,DEC Inzell Frillensee,"<a href=""https://www.die-luchse.de/wp-content/uploads/2024/08/Logo-DEC-Inzell.png""><img src=""https://www.die-luchse.de/wp-content/uploads/2024/08/Logo-DEC-Inzell.png"" alt="""" width=""25"" class=""alignnone size-full wp-image-10759"" /></a>",7 : 5,"<a href=""https://www.die-luchse.de/wp-content/uploads/2022/10/Muenchner-EK-Muenchner-Luchse-Logo.png""><img src=""https://www.die-luchse.de/wp-content/uploads/2022/10/Muenchner-EK-Muenchner-Luchse-Logo.png"" alt="""" width=""25"" class=""alignnone size-full wp-image-7273"" /></a>",Münchner Eishockey Klub,Kalenderimport
