,,Verein,SP,S,N,OTW,OTL,T+,T-,TD,P
1,"<a href=""https://www.die-luchse.de/wp-content/uploads/2025/02/Logo-ESV-Tuerkheim.png""><img src=""https://www.die-luchse.de/wp-content/uploads/2025/02/Logo-ESV-Tuerkheim.png"" alt="""" width=""25"" class=""alignnone size-full wp-image-10764"" /></a>",ESV Türkheim,15,11,2,1,1,117,42,75,36
2,"<a href=""https://www.die-luchse.de/wp-content/uploads/2024/02/Logo-ESV-Buchloe.png""><img src=""https://www.die-luchse.de/wp-content/uploads/2024/02/Logo-ESV-Buchloe.png"" alt="""" width=""25"" class=""alignnone size-full wp-image-10764"" /></a>",ESV Buchloe,15,10,1,2,2,105,45,60,36
3,"<a href=""https://www.die-luchse.de/wp-content/uploads/2025/08/LOGO-ESV-Burgau.png""><img src=""https://www.die-luchse.de/wp-content/uploads/2025/08/LOGO-ESV-Burgau.png"" alt="""" width=""25"" class=""alignnone size-full wp-image-10764"" /></a>",ESV Burgau 2000,15,10,4,1,0,107,93,14,32
4,"<a href=""https://www.die-luchse.de/wp-content/uploads/2024/08/Logo-EV-Fuerstenfeldbruck.png""><img src=""https://www.die-luchse.de/wp-content/uploads/2024/08/Logo-EV-Fuerstenfeldbruck.png"" alt="""" width=""25"" class=""alignnone size-full wp-image-10764"" /></a>",EV Fürstenfeldbruck,16,10,6,0,0,116,67,49,30
5,"<a href=""https://www.die-luchse.de/wp-content/uploads/2024/02/Logo-ESV-Dachau.png""><img src=""https://www.die-luchse.de/wp-content/uploads/2024/02/Logo-ESV-Dachau.png"" alt="""" width=""25"" class=""alignnone size-full wp-image-10764"" /></a>",ESV Dachau Woodpeckers,15,8,7,0,0,83,58,25,24
6,"<a href=""https://www.die-luchse.de/wp-content/uploads/2025/08/LOGO-EV-Pfronten.png""><img src=""https://www.die-luchse.de/wp-content/uploads/2025/08/LOGO-EV-Pfronten.png"" alt="""" width=""25"" class=""alignnone size-full wp-image-10764"" /></a>",EV Pfronten,14,7,7,0,0,66,62,4,21
7,"<a href=""https://www.die-luchse.de/wp-content/uploads/2025/08/LOGO-EC-Senden.png""><img src=""https://www.die-luchse.de/wp-content/uploads/2025/08/LOGO-EC-Senden.png"" alt="""" width=""25"" class=""alignnone size-full wp-image-10764"" /></a>",SG 1. EC Senden / ECDC Memmingen II,16,6,10,0,0,69,108,-39,18
8,"<a href=""https://www.die-luchse.de/wp-content/uploads/2025/03/Logo-EC-Bad-Woerishofen.png""><img src=""https://www.die-luchse.de/wp-content/uploads/2025/03/Logo-EC-Bad-Woerishofen.png"" alt="""" width=""25"" class=""alignnone size-full wp-image-10764"" /></a>",EV Bad Wörishofen II,15,1,12,0,2,38,135,-97,5
9,"<a href=""https://www.die-luchse.de/wp-content/uploads/2022/10/Muenchner-EK-Muenchner-Luchse-Logo.png""><img src=""https://www.die-luchse.de/wp-content/uploads/2022/10/Muenchner-EK-Muenchner-Luchse-Logo.png"" alt="""" width=""25"" class=""alignnone size-full wp-image-7273"" /></a>",SG Münchner Eishockey Klub / Wanderers Germering II,15,0,14,1,0,34,125,-91,2
